"","created_time","snippet","headline","wordcount","section"
"1","2015-12-22T13:00:06+0000","To transform Eddie Redmayne’s character from masculine to feminine, costume and makeup designers held fittings a year before the film was announced.","The Liberation of Lili in ‘The Danish Girl’",847,"Movies"
"2","2015-12-18T14:35:37+0000","From the International Herald Tribune archives: The United States works to acquire Danish vessels for Great Britain in 1940.","1940: U.S. Eyeing Danish Ships",162,"World"
"3","2015-12-18T22:29:34+0000","The ensemble’s members introduced themselves as players of wide-ranging interests in their American debut at Weill Recital Hall.","Review: Danish Piano Trio Shares Well-Loved Sounds and Little-Known Gems",464,"Arts"
"4","2015-12-05T23:08:55+0000","Denmark, which cut a renewable energy fund, may provide other nations with a lesson in how politics, economic concerns and ideological disputes can temper gains.","Denmark, a Green Energy Leader, Slows Pace of Its Spending",1376,"World"
"5","2015-12-31T10:00:06+0000","The star of “The Danish Girl” shows an easy assurance on the red carpet.","Alicia Vikander's Breakout Style",0,"Fashion & Style"
"6","2015-12-16T21:37:05+0000","The archetype persists, turning up this holiday season in a spate of films.","Love for Sale: The Shopgirl Has a Pop Cultural Moment",1030,"Fashion & Style"
"7","2015-11-26T20:29:53+0000","Tom Hooper narrates a sequence from “The Danish Girl” featuring Eddie Redmayne and Alicia Vikander.","Anatomy of a Scene | ‘The Danish Girl’",0,"Movies"
"8","2015-12-12T23:29:12+0000","A long diplomatic journey sought a binding climate change accord, and a reboot seeks a long journey.","The Destination in Paris Climate Talks Was a Journey That Begins Now",624,"Opinion"
"9","2015-11-26T20:34:24+0000","The director discusses a sequence featuring Eddie Redmayne and Alicia Vikander.","Tom Hooper Narrates a Scene From ‘The Danish Girl’",536,"Movies"
"10","2015-12-09T23:25:16+0000","Movies like “The Danish Girl” are part of a wave of films giving transgender people more complex stories.","Transgender, and Embraced, on the Red Carpet",1256,"Movies"
"11","2015-11-26T22:07:56+0000","In Tom Hooper’s new film, Eddie Redmayne and Alicia Vikander portray the 1920s artists Einar and Gerda Wegener as Einar became Lili Elbe.","Review: ‘The Danish Girl,’ About a Transgender Pioneer",944,"Movies"
"12","2015-12-03T17:14:50+0000","Recent research suggests that experience may alter a man’s sperm, and the changes may be handed down to his children.","Fathers May Pass Down More Than Just Genes, Study Suggests",879,"Science"
"13","2015-11-30T22:43:26+0000","A resource guide for those tracking negotiations toward a new climate change agreement in Paris","Tracking Views and News Out of the Paris Climate Change Talks",954,"Opinion"
"14","2015-11-20T13:31:56+0000","The country’s cinema has often been open-minded about sexuality, equality and identity.","Eros and Identity Meet Again in Copenhagen, in ‘The Danish Girl’",1012,"Movies"
"15","2015-11-19T23:34:45+0000","This exhibition includes 24 works from the collection of the National Gallery of Denmark, selected by its chief curator, Kasper Monrad.","Vilhelm Hammershoi’s Paintings at Scandinavia House",796,"Arts"
"16","2015-11-13T22:54:39+0000","This is the first time that these players have performed the complete quartets of the Danish master Carl Nielsen on a single program.","Review: Danish String Quartet Plays at the Rose Studio",486,"Arts"
"17","2015-11-20T09:37:24+0000","Moving forward “with vigor” for a center that will produce works of theater, dance, music, opera and film.","Design Team Named For Performing Arts Center at World Trade Center Site",369,"Arts"
"18","2015-11-16T03:11:09+0000","The abrupt change in the Nordic nations is one of the most striking consequences of the surge of asylum seekers in Europe this year.","Nordic Countries, Overwhelmed by Migrants, Retreat From Generous Traditions",1382,"World"
"19","2015-11-04T08:45:22+0000","The prospect of death changed him, and he finally allowed his friends and family to enter his life.","How A.L.S. Rescued My Father",1471,"Opinion"
"20","2015-11-04T02:34:47+0000","A month after a former leader was accused of corruption, the president of the United Nations General Assembly said he would make public what funds he receives from government and private donors.","U.N. Leader Pledges to Reveal Donor Data",531,"World"
"21","2015-11-02T06:00:04+0000","Researchers at the Natural History Museum of Denmark say that climate change is affecting specialized insects that rely on a single food source.","A Rooftop View of Insect Migration in a Warming Climate",101,"Science"
"22","2015-10-22T20:05:06+0000","Ahmad Majid, a Syrian refugee seeking safety in Europe, shot this cellphone video of the prison cell in which he and his family were held by the police in Denmark.","Syrian Refugee’s Video of Danish Prison",0,"World"
"23","2015-10-19T07:20:03+0000","An example of a welfare state that taxes heavily but enjoys high employment and general prosperity.","Something Not Rotten in Denmark",796,"Opinion"
"24","2015-10-23T19:37:02+0000","As climate treaty talks intensify, fights over hard commitments on climate assistance have replaced fights over emissions targets as the prime obstacle to an accord.","Climate Talks Imperiled by Rich-Poor Fight Over Hard Targets for Aid",714,"Opinion"
"25","2015-10-15T11:07:54+0000","The move comes a year after a zoo in Copenhagen generated global outrage when it killed a healthy giraffe, before dissecting him and feeding him to lions.","Zoo’s Public Dissection of Lion Makes Denmark Again a Target of Outrage",689,"World"
"26","2015-10-22T15:55:41+0000","A series of emerald-green specks afloat in the North Atlantic sea, the Faroe Islands are wild, windswept and yet surprisingly chic.","The Next Great Scandinavian Destination",1283,"T Magazine"
"27","2015-10-12T17:20:46+0000","Bo Bech will instigate a kind of gastronomic parlor game, starting Nov. 16, under a mysterious rubric, the Bride of the Fox.","Danish Star Chef to Roll Out Pop-Ups in New York",681,"Food"
"28","2015-10-16T07:21:04+0000","We don’t like ‘them.’ But we do like many of their ideas. At its best the system can run an army, and health care, and provide quality education.","Guess Who Else Is a Socialist?",839,"Opinion"
"29","2015-10-09T08:44:14+0000","The transaction is expected to bolster DSV’s annual revenue by about 50 percent and give it a more balanced geographic footprint.","DSV Group Agrees to Acquire UTi Worldwide in $1.35 Billion Deal",359,"Business Day"
"30","2015-09-29T21:56:51+0000","It was Vice President Joseph R. Biden Jr.’s turn to chuckle when a foreign counterpart blurted out what everyone was thinking.","Danish Minister Slips in Briefly Promoting Joe Biden",334,"U.S."
"31","2015-09-15T14:16:19+0000","A majority of Danes want to accept more refugees — even if their government is loath to do so.","Denmark Shouldn’t Say No to Refugees",869,"Opinion"
"32","2015-09-18T15:34:15+0000","In Haderslev, where few people follow baseball, some historians said it was possible that Syndergaard, nicknamed Thor, could trace his lineage to Vikings.","The Met, the Myth: Searching for Noah Syndergaard’s Viking Roots in Denmark",2015,"Sports"
"33","2015-09-25T07:30:02+0000","Cities are challenging a wide range of companies to imagine new ways to solve local problems, rather than just inviting familiar contractors to bid on brain-dead repair jobs.","Opening City Hall’s Wallets to Innovation",1838,"Opinion"
